id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,parentTconst,seasonNumber,episodeNumber,parentTitle,decade
tt0407746,videoGame,Dragonriders: Chronicles of Pern,Dragonriders: Chronicles of Pern,0.0,2001.0,,,"Adventure,Fantasy,Mystery",8.1,15.0,,,,,2000.0
tt0407798,videoGame,Siren,Siren,0.0,2003.0,,,"Action,Adventure,Horror",7.9,193.0,,,,,2000.0
tt0407842,videoGame,Grom: Terror in Tibet,Grom: Terror in Tibet,0.0,2003.0,,,Action,8.2,8.0,,,,,2000.0
tt0408173,videoGame,Serious Sam: The Second Encounter,Serious Sam: The Second Encounter,0.0,2002.0,,,"Action,Comedy,Horror",7.8,480.0,,,,,2000.0
tt0408216,videoGame,State of Emergency,State of Emergency,0.0,2002.0,,,"Action,Crime,Thriller",5.8,76.0,,,,,2000.0
tt0408642,videoGame,Crash Twinsanity,Crash Twinsanity,0.0,2004.0,,,"Action,Adventure,Animation",7.8,687.0,,,,,2000.0
tt0408741,videoGame,Empires: Dawn of the Modern World,Empires: Dawn of the Modern World,0.0,2003.0,,,,8.1,26.0,,,,,2000.0
tt0409075,videoGame,Nancy Drew: Treasure in the Royal Tower,Nancy Drew: Treasure in the Royal Tower,0.0,2001.0,,,"Adventure,Mystery",8.4,75.0,,,,,2000.0
tt0409119,videoGame,OutRun 2,OutRun 2,0.0,2003.0,,,,7.9,32.0,,,,,2000.0
tt0410084,videoGame,Homeworld: Cataclysm,Homeworld: Cataclysm,0.0,2000.0,,,Action,8.4,67.0,,,,,2000.0
tt0410179,videoGame,La Pucelle: Tactics,Ra pyuseru: Hikari no seijo densetsu,0.0,2002.0,,,Fantasy,8.1,19.0,,,,,2000.0
tt0410309,videoGame,Men of Valor,Men of Valor,0.0,2004.0,,,"Action,War",7.6,102.0,,,,,2000.0
tt0410414,videoGame,Painkiller,Painkiller,0.0,2004.0,,,"Action,Fantasy,Horror",7.9,419.0,,,,,2000.0
tt0410448,videoGame,Phantasy Star Online Episode I & II,Phantasy Star Online Episode I & II,0.0,2002.0,,,"Action,Fantasy,Mystery",8.2,81.0,,,,,2000.0
tt0410449,videoGame,Phantasy Star Online Version 2,Phantasy Star Online Version 2,0.0,2001.0,,,"Action,Adventure,Fantasy",7.5,14.0,,,,,2000.0
tt0410595,videoGame,Shrek 2,Shrek 2,0.0,2004.0,,,"Action,Adventure,Animation",6.9,373.0,,,,,2000.0
tt0410801,videoGame,Transformers,Transformers,0.0,2004.0,,,"Action,Adventure,Sci-Fi",7.0,151.0,,,,,2000.0
tt0411146,videoGame,The Bard's Tale,The Bard's Tale,0.0,2004.0,,,"Comedy,Fantasy",7.8,206.0,,,,,2000.0
tt0411358,videoGame,EverQuest: Gates of Discord,EverQuest: Gates of Discord,0.0,2004.0,,,,7.1,14.0,,,,,2000.0
tt0411359,videoGame,EverQuest: Planes of Power,EverQuest: Planes of Power,0.0,2002.0,,,,7.5,10.0,,,,,2000.0
tt0411677,videoGame,Mortal Kombat: Deception,Mortal Kombat: Deception,0.0,2004.0,,,"Action,Fantasy,Sci-Fi",7.9,997.0,,,,,2000.0
tt0411688,videoGame,Narc,Narc,0.0,2005.0,,,"Action,Crime,Thriller",6.6,117.0,,,,,2000.0
tt0411822,videoGame,Samurai Warriors,Sengoku musô,0.0,2004.0,,,"Action,Fantasy",7.5,65.0,,,,,2000.0
tt0411906,videoGame,Spider-Man 2,Spider-Man 2,0.0,2004.0,,,"Action,Adventure,Crime",7.7,4578.0,,,,,2000.0
tt0412022,videoGame,Van Helsing,Van Helsing,0.0,2004.0,,,"Action,Adventure,Fantasy",6.7,457.0,,,,,2000.0
tt0412486,videoGame,Battlefield: 1942,Battlefield: 1942,0.0,2002.0,,,"Action,Adventure,War",8.1,1212.0,,,,,2000.0
